Team,Variable,ADF Statistic,p-value
Fiorentina,Net Profit Margin,-1.1970633949306695,0.6748576877947955
Fiorentina,Firm Size,1.2294086173916614,0.9961829020101377
Fiorentina,Leverage,-0.1549519025126525,0.9436825248310546
Fiorentina,Growth,-2.110661198020984,0.24024934616571592
Fiorentina,Return on Equity,-0.17895862730571058,0.940983658964052
Fiorentina,Goal Ratio,-2.4437661864983213,0.1297626923774305
Galatasaray,League Standing,-1.0157987663695809,0.7474585394355006
Galatasaray,Net Profit Margin,-1.6057534810159713,0.48070272533960196
Galatasaray,Firm Size,-1.0928254669314703,0.7179245288861685
Galatasaray,Leverage,-0.9607389584796815,0.7673132824050324
Galatasaray,Growth,-2.289426264021826,0.1754008930096288
Galatasaray,Return on Equity,-2.677206902950586,0.0780661983171485
Galatasaray,Goal Ratio,-2.1125193668636206,0.2395103908868893
Genoa,League Standing,-3.1617647058823533,0.022307333922789323
Genoa,Net Profit Margin,-0.5015950612874895,0.8917048550006381
Genoa,Firm Size,-0.6477587063931209,0.8598213343373085
Genoa,Leverage,-1.9638594780798782,0.30264071952230986
Genoa,Growth,-2.6073657570898137,0.09148445133254018
Genoa,Return on Equity,-0.05033992675246646,0.9541656773457331
Genoa,Goal Ratio,-3.431776327113167,0.009922154784145982
Getafe,League Standing,-0.4354245279418919,0.9040140248635529
Getafe,Net Profit Margin,-1.41697469889365,0.5741117251232113
Getafe,Firm Size,-2.24563568837537,0.19010099207982534
Getafe,Leverage,-12.310475165891578,7.110712835802453e-23
Getafe,Growth,-7.446709476995403,5.81256501996321e-11
Getafe,Return on Equity,-1.9047789448242547,0.32981629488099784
Getafe,Goal Ratio,-0.7180090199825955,0.842029487874627
Girondins de Bordeaux,League Standing,-1.3676499264225204,0.5976831783114197
Girondins de Bordeaux,Net Profit Margin,-1.9003636834493833,0.33189004189196647
Girondins de Bordeaux,Firm Size,-2.3923603120498056,0.14390427439499937
Girondins de Bordeaux,Leverage,0.5940642498340839,0.9874684056736861
Girondins de Bordeaux,Growth,-2.11232965115797,0.23958577620667448
Girondins de Bordeaux,Return on Equity,-1.400516285441906,0.5820285797788161
Girondins de Bordeaux,Goal Ratio,-1.3452122345654243,0.6082423905843177
Inter Milan,League Standing,-1.0674899923282326,0.7278609190420056
Inter Milan,Net Profit Margin,-1.3721225264080197,0.5955655807275441
Inter Milan,Firm Size,-1.3169366483818652,0.6213885973221146
Inter Milan,Leverage,-6.416624100798768,1.8344901167748474e-08
Inter Milan,Growth,-1.9414268773191619,0.3128304330385735
Inter Milan,Return on Equity,-2.341790850182381,0.15884348962080685
Inter Milan,Goal Ratio,-0.7205874678651237,0.8413446112723546
Istanbul Başakşehir,League Standing,-1.8103747256849463,0.3753232311002408
Istanbul Başakşehir,Net Profit Margin,-0.5214295489278093,0.8877663890893788
Istanbul Başakşehir,Firm Size,-0.9573031780706287,0.7685168613478197
Istanbul Başakşehir,Leverage,-0.5127098011004632,0.889512309092445
Istanbul Başakşehir,Growth,-2.2864880312741236,0.17636288900033248
Istanbul Başakşehir,Return on Equity,-1.9389160817348725,0.31398092673865097
Istanbul Başakşehir,Goal Ratio,-1.2985353997258684,0.6298421034200496
Juventus,League Standing,-0.49999999999999994,0.8920164965835715
Juventus,Net Profit Margin,0.42801876819177903,0.982513039460678
Juventus,Firm Size,-2.2166129704287085,0.2002712520021801
Juventus,Leverage,-4.309860034859785,0.0004270683870180579
Juventus,Growth,-3.445070079793655,0.009515094549549238
Juventus,Return on Equity,-2.0208187727937084,0.27752004947609477
Juventus,Goal Ratio,-3.2748898170527387,0.01603889688124282
Lazio,League Standing,-3.464101615137755,0.008958347544104746
Lazio,Net Profit Margin,-16.52730558863832,2.0385425205761994e-29
Lazio,Firm Size,-0.6594615670802909,0.8569724041905453
Lazio,Leverage,-2.2165388192797937,0.20029767125391307
Lazio,Growth,-2.463706148216986,0.12455654361644591
Lazio,Return on Equity,-5.993519077829824,1.7231126048299786e-07
Lazio,Goal Ratio,-3.4983865657113884,0.008028627284184596
Leicester City,League Standing,-1.4000000000000006,0.58227611852326
Leicester City,Net Profit Margin,-0.7013452731748722,0.8464007740163867
Leicester City,Firm Size,-0.5819218882898209,0.8750148398015967
Leicester City,Leverage,0.014157092093913949,0.9596873254013003
Leicester City,Growth,-2.417709401032169,0.13680031786451746
