Variable,VIF
const,209.1327115101367
Financial Irregularity,1.2933776423056005
Net Profit Margin,1.1062004718884153
Firm Size,1.555174389729801
Leverage,1.1870679158274249
Growth,1.0219939561720734
Return on Equity,1.0230668544238006
Goal Ratio,1.7426405624374217
