,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Financial Irregularity,406.0,0.12807881773399016,0.3345898594090071,0.0,0.0,0.0,0.0,1.0,2.2341524450131707,3.0062219761806186
League Standing,406.0,9.52216748768473,5.5859834490326135,1.0,5.0,9.0,14.0,21.0,0.16564877448359944,-1.1366772875674591
Net Profit Margin,406.0,-0.16110608758273903,0.3626913781653195,-2.631883520356116,-0.28370503123919355,-0.06492608640026631,0.03365511089467777,1.3678044934962554,-2.1777868825910387,11.459154519563265
Firm Size,406.0,12.28617688571579,1.0175975545039007,8.527539483470381,11.710387744367567,12.282861397952102,12.81363363132963,14.634948040113837,-0.07551805259794096,0.07122292003859565
Leverage,406.0,0.9075320794822839,0.3613184156458046,0.015183372564178671,0.6717438505691311,0.8459676176980093,1.026555724091819,2.666632743468787,1.0246447622896173,1.6737576773132612
Growth,406.0,0.04539630714522495,0.3578934270644709,-0.9342737346968389,-0.13778087849845824,0.011025626133040652,0.15127075275131985,2.038918015786138,2.034127430029347,8.396007340119498
Return on Equity,406.0,-0.2817032023781782,2.277918473533037,-15.670395227442206,-0.3782460201540012,0.0011882776152182084,0.28151412733567327,10.622832052689352,-1.9643704395743022,15.630163833816784
Goal Ratio,406.0,1.2104314067676727,0.6707272038721414,0.23255813953488372,0.7548132460531383,0.9834699453551912,1.4729166666666667,4.130434782608695,1.6692233914541128,3.2769577174757933
